config_id,stressor_prob,stressor_intensity,immortal,run,generation,lifespan,dreamer_fraction,guardian_fraction,plasticity_index,interiority_score,n_awakenings,cause_of_death,fitness_score,plasticity_selection_r
sp0.3_si2.0_mortal,0.3,2.0,False,0,41,197,0.622449,0.265306,2.346145,1.0,0,survived,0.444999,0.023028
sp0.3_si2.0_mortal,0.3,2.0,False,0,42,374,0.691689,0.257373,2.68749,1.0,0,survived,0.648815,0.019173
sp0.3_si2.0_mortal,0.3,2.0,False,0,43,75,0.554054,0.364865,1.518514,1.0,0,survived,0.296248,-0.00405
sp0.3_si2.0_mortal,0.3,2.0,False,0,44,61,0.583333,0.233333,2.499989,1.0,0,survived,0.29403,0.025223
sp0.3_si2.0_mortal,0.3,2.0,False,0,45,73,0.694444,0.25,2.777767,1.0,0,survived,0.350415,0.040001
sp0.3_si2.0_mortal,0.3,2.0,False,0,46,27,0.423077,0.384615,1.099997,0.9,0,survived,0.196096,0.00939
sp0.3_si2.0_mortal,0.3,2.0,False,0,47,24,0.478261,0.347826,1.374996,1.0,0,survived,0.215185,0.085503
sp0.3_si2.0_mortal,0.3,2.0,False,0,48,80,0.64557,0.303797,2.124993,1.0,0,survived,0.33783,0.11315
sp0.3_si2.0_mortal,0.3,2.0,False,0,49,273,0.610294,0.279412,2.184203,1.0,0,survived,0.515759,0.117197
sp0.3_si2.0_mortal,0.3,2.0,False,1,0,168,0.652695,0.311377,2.096147,1.0,0,survived,0.861078,0.0
sp0.3_si2.0_mortal,0.3,2.0,False,1,1,374,0.621984,0.24933,2.494614,1.0,0,survived,0.848794,0.0
sp0.3_si2.0_mortal,0.3,2.0,False,1,2,108,0.551402,0.317757,1.735289,1.0,0,survived,0.393823,1.0
sp0.3_si2.0_mortal,0.3,2.0,False,1,3,77,0.671053,0.328947,2.039994,1.0,0,survived,0.39195,0.794884
sp0.3_si2.0_mortal,0.3,2.0,False,1,4,102,0.485149,0.39604,1.224997,1.0,0,survived,0.357696,0.43194
sp0.3_si2.0_mortal,0.3,2.0,False,1,5,180,0.659218,0.301676,2.185178,1.0,0,survived,0.552457,0.211004
sp0.3_si2.0_mortal,0.3,2.0,False,1,6,568,0.606,0.3,2.019993,1.0,0,survived,0.8424,0.399446
sp0.3_si2.0_mortal,0.3,2.0,False,1,7,157,0.557692,0.24359,2.289464,1.0,0,survived,0.388922,0.394984
sp0.3_si2.0_mortal,0.3,2.0,False,1,8,171,0.588235,0.288235,2.040809,1.0,0,survived,0.415928,0.407787
sp0.3_si2.0_mortal,0.3,2.0,False,1,9,66,0.523077,0.292308,1.789468,1.0,0,survived,0.278949,0.408367
sp0.3_si2.0_mortal,0.3,2.0,False,1,10,65,0.578125,0.34375,1.681813,1.0,0,survived,0.299912,0.465552
sp0.3_si2.0_mortal,0.3,2.0,False,1,11,140,0.647482,0.323741,1.999994,1.0,0,survived,0.40688,0.468817
sp0.3_si2.0_mortal,0.3,2.0,False,1,12,92,0.527473,0.296703,1.777772,1.0,0,survived,0.308172,0.393767
sp0.3_si2.0_mortal,0.3,2.0,False,1,13,291,0.662069,0.303448,2.181811,1.0,0,survived,0.572222,0.294639
sp0.3_si2.0_mortal,0.3,2.0,False,1,14,45,0.5,0.25,1.999992,1.0,0,survived,0.247535,0.187985
sp0.3_si2.0_mortal,0.3,2.0,False,1,15,137,0.617647,0.330882,1.866661,1.0,0,survived,0.391777,0.199149
sp0.3_si2.0_mortal,0.3,2.0,False,1,16,32,0.741935,0.258065,2.874989,1.0,0,survived,0.330577,0.16221
sp0.3_si2.0_mortal,0.3,2.0,False,1,17,135,0.649254,0.291045,2.230762,1.0,0,survived,0.402307,0.111532
sp0.3_si2.0_mortal,0.3,2.0,False,1,18,114,0.530973,0.362832,1.463411,1.0,0,survived,0.332812,0.095142
sp0.3_si2.0_mortal,0.3,2.0,False,1,19,20,0.526316,0.473684,1.111109,0.5,0,survived,0.231653,0.146822
sp0.3_si2.0_mortal,0.3,2.0,False,1,20,186,0.648649,0.291892,2.222215,1.0,0,survived,0.455938,0.128345
sp0.3_si2.0_mortal,0.3,2.0,False,1,21,97,0.510417,0.333333,1.531245,1.0,0,survived,0.306631,0.10918
sp0.3_si2.0_mortal,0.3,2.0,False,1,22,36,0.628571,0.371429,1.692303,1.0,0,survived,0.289457,0.155271
sp0.3_si2.0_mortal,0.3,2.0,False,1,23,218,0.663594,0.262673,2.526306,1.0,0,survived,0.495719,0.166434
sp0.3_si2.0_mortal,0.3,2.0,False,1,24,127,0.634921,0.333333,1.904756,1.0,0,survived,0.388123,0.155319
sp0.3_si2.0_mortal,0.3,2.0,False,1,25,118,0.717949,0.188034,3.818162,1.0,0,survived,0.411827,0.148672
sp0.3_si2.0_mortal,0.3,2.0,False,1,26,159,0.626582,0.259494,2.414625,1.0,0,survived,0.418591,0.147223
sp0.3_si2.0_mortal,0.3,2.0,False,1,27,260,0.602317,0.316602,1.902433,1.0,0,survived,0.515575,0.156312
sp0.3_si2.0_mortal,0.3,2.0,False,1,28,77,0.763158,0.236842,3.222209,1.0,0,survived,0.386601,0.15599
sp0.3_si2.0_mortal,0.3,2.0,False,1,29,355,0.615819,0.29096,2.116498,1.0,0,survived,0.621328,0.266357
sp0.3_si2.0_mortal,0.3,2.0,False,1,30,82,0.530864,0.382716,1.387093,1.0,0,survived,0.298965,0.262938
sp0.3_si2.0_mortal,0.3,2.0,False,1,31,274,0.630037,0.271062,2.324316,1.0,0,survived,0.541451,0.216131
sp0.3_si2.0_mortal,0.3,2.0,False,1,32,69,0.647059,0.191176,3.384598,1.0,0,survived,0.331711,0.206418
sp0.3_si2.0_mortal,0.3,2.0,False,1,33,259,0.647287,0.248062,2.609364,1.0,0,survived,0.532506,0.218109
sp0.3_si2.0_mortal,0.3,2.0,False,1,34,132,0.656489,0.328244,1.999994,1.0,0,survived,0.402032,0.213418
sp0.3_si2.0_mortal,0.3,2.0,False,1,35,42,0.585366,0.414634,1.411761,1.0,0,survived,0.278513,0.1898
sp0.3_si2.0_mortal,0.3,2.0,False,1,36,263,0.687023,0.217557,3.15788,1.0,0,survived,0.552626,0.176395
sp0.3_si2.0_mortal,0.3,2.0,False,1,37,78,0.597403,0.311688,1.916661,1.0,0,survived,0.321355,0.151302
sp0.3_si2.0_mortal,0.3,2.0,False,1,38,48,0.595745,0.319149,1.866661,1.0,0,survived,0.289002,0.155348
sp0.3_si2.0_mortal,0.3,2.0,False,1,39,160,0.540881,0.289308,1.869559,1.0,0,survived,0.385366,0.154686
sp0.3_si2.0_mortal,0.3,2.0,False,1,40,62,0.737705,0.262295,2.812489,1.0,0,survived,0.360575,0.173021
sp0.3_si2.0_mortal,0.3,2.0,False,1,41,231,0.669565,0.234783,2.85184,1.0,0,survived,0.51184,0.197944
sp0.3_si2.0_mortal,0.3,2.0,False,1,42,32,0.709677,0.16129,4.399973,1.0,0,survived,0.317674,0.172498
sp0.3_si2.0_mortal,0.3,2.0,False,1,43,20,0.578947,0.421053,1.374997,0.4,0,survived,0.252706,0.128867
sp0.3_si2.0_mortal,0.3,2.0,False,1,44,95,0.670213,0.329787,2.032252,1.0,0,survived,0.368437,0.133982
sp0.3_si2.0_mortal,0.3,2.0,False,1,45,71,0.7,0.242857,2.882341,1.0,0,survived,0.355,0.120522
sp0.3_si2.0_mortal,0.3,2.0,False,1,46,132,0.679389,0.259542,2.617637,1.0,0,survived,0.411192,0.115936
sp0.3_si2.0_mortal,0.3,2.0,False,1,47,189,0.542553,0.25,2.170204,1.0,0,survived,0.416669,0.122881
sp0.3_si2.0_mortal,0.3,2.0,False,1,48,52,0.705882,0.294118,2.399992,1.0,0,survived,0.337283,0.140732
sp0.3_si2.0_mortal,0.3,2.0,False,1,49,183,0.615385,0.28022,2.196071,1.0,0,survived,0.439464,0.148277
sp0.3_si2.0_mortal,0.3,2.0,False,2,0,172,0.520468,0.339181,1.534478,1.0,0,survived,0.808187,0.0
sp0.3_si2.0_mortal,0.3,2.0,False,2,1,135,0.626866,0.313433,1.999994,1.0,0,survived,0.721677,0.0
sp0.3_si2.0_mortal,0.3,2.0,False,2,2,91,0.655556,0.344444,1.90322,1.0,0,survived,0.579664,-1.0
sp0.3_si2.0_mortal,0.3,2.0,False,2,3,95,0.648936,0.351064,1.84848,1.0,0,survived,0.59097,-0.959595
sp0.3_si2.0_mortal,0.3,2.0,False,2,4,28,0.62963,0.37037,1.699995,0.8,0,survived,0.349526,-0.739405
sp0.3_si2.0_mortal,0.3,2.0,False,2,5,52,0.54902,0.27451,1.999993,1.0,0,survived,0.401003,-0.729061
sp0.3_si2.0_mortal,0.3,2.0,False,2,6,248,0.619433,0.299595,2.067561,1.0,0,survived,0.847773,-0.73177
sp0.3_si2.0_mortal,0.3,2.0,False,2,7,378,0.612732,0.31565,1.94117,1.0,0,survived,0.845093,-0.330024
sp0.3_si2.0_mortal,0.3,2.0,False,2,8,56,0.509091,0.309091,1.647053,1.0,0,survived,0.292525,-0.328742
sp0.3_si2.0_mortal,0.3,2.0,False,2,9,219,0.711009,0.215596,3.297857,1.0,0,survived,0.632023,-0.400332
sp0.3_si2.0_mortal,0.3,2.0,False,2,10,458,0.603939,0.295405,2.044438,1.0,0,survived,0.841575,0.138757
sp0.3_si2.0_mortal,0.3,2.0,False,2,11,94,0.634409,0.322581,1.966661,1.0,0,survived,0.376908,0.140373
sp0.3_si2.0_mortal,0.3,2.0,False,2,12,113,0.678571,0.25,2.714275,1.0,0,survived,0.419464,0.122632
